Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,0.00202502871373665,5.79160005232344E-06,0.112009983028316,0,0,0,1.22474344216467,0.00812790717364592,-1.03732727894588E-07,3.90769226314431E-05,0.0086570312891289,-1.46314323143128E-06,0.00757657926766931,0,0,0,0,0,0,package://sysmo_description/meshes/pelvis.STL,1,1,1,1,0,0,0,0,0,0,package://sysmo_description/meshes/pelvis.STL,,0000_fa01-1/fa01-11000_髋部总成-1/髋部前壳-1;0000_fa01-1/fa01-11000_髋部总成-1/髋部后壳-1;0000_fa01-1/fa01-11000_髋部总成-1/髋部主体-1;0000_fa01-1/fa01-11000_髋部总成-1/_3d_stp_gemini_336l_asm_with_fo-1/_3d_stp_gemini_336l_asm_with__1-1/00_gemini_336l_3d_all_asm_1_asm-1/0002_2_1_1-1;0000_fa01-1/fa01-11000_髋部总成-1/髋电机法兰-2;0000_fa01-1/fa01-11000_髋部总成-1/ec-a13715-p1-12_67（20251014）-2/ec-a13715-p1-12_67-5（20251014）-1;0000_fa01-1/fa01-11000_髋部总成-1/ec-a13715-p1-12_67（20251014）-2/ec-a13715-p1-12_67-7（20251014）-1;0000_fa01-1/fa01-11000_髋部总成-1/髋电机法兰-1;0000_fa01-1/fa01-11000_髋部总成-1/ec-a13715-p1-12_67（20251014）-1/ec-a13715-p1-12_67-5（20251014）-1;0000_fa01-1/fa01-11000_髋部总成-1/ec-a13715-p1-12_67（20251014）-1/ec-a13715-p1-12_67-7（20251014）-1,pelvis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,0.00274318253913958,0.0696474126922561,-0.0257334153484181,0,0,0,0.79717392522019,0.00227404304293904,-0.000154138517846121,5.15448578335136E-05,0.00176598826194203,-0.000135551845172843,0.00114910838819244,0,0,0,0,0,0,package://sysmo_description/meshes/left_hip_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sysmo_description/meshes/left_hip_pitch_link.STL,,downbody-1/FA01-41000-hip p l link-V1-3/FA01-41000_hip p l structural part asm_V1-1;downbody-1/FA01-41000-hip p l link-V1-3/FA01-31005_hip p r 髋关节连接件限位块_V1-1;downbody-1/FA01-41000-hip p l link-V1-3/FA01-31005_hip p r 髋关节连接件限位块_V1-2,left_hip_pitch_link,left_hip_pitch_axis,left_hip_pitch_joint,revolute,0,0.085459,0.085352,-0.3927,0,0,pelvis,0,1,0,0,0,-2.09,2.09,,,,,,,,
left_hip_roll_link,-0.0112880464204258,-6.99144173694488E-05,-0.0606395466625547,0,0,0,1.03647418199908,0.00377247066562655,7.74498894666636E-07,-0.000371632558334691,0.00298686470837178,0.000137506507776035,0.00197976810312521,0,0,0,0,0,0,package://sysmo_description/meshes/left_hip_roll_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://sysmo_description/meshes/left_hip_roll_link.STL,,downbody-1/FA01-42000-hip r l link-V1-3/FA01-42000_hip l structural asm_V1-1;downbody-1/FA01-42000-hip r l link-V1-3/FA01-42004_hip r l pitch髋关节连接件外壳_V1-1,left_hip_roll_link,left_hip_roll_axis,left_hip_roll_joint,revolute,0,0.076873,-0.029999,0.3927,0,0,left_hip_pitch_link,1,0,0,0,0,-0.52,2.62,,,,,,,,
left_hip_yaw_link,0.00330387819237833,-0.00777439380757597,-0.0776038327882692,0,0,0,1.41092745589291,0.00692641165764095,1.34641372144716E-05,-0.0002779030462481,0.00866060423309844,0.000830726537116593,0.0036951760035103,0,0,0,0,0,0,package://sysmo_description/meshes/left_hip_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sysmo_description/meshes/left_hip_yaw_link.STL,,downbody-1/FA01-43000-hip y l link-V1-3/FA01-43000_hip y l structural asm_V1-1,left_hip_yaw_link,left_hip_yaw_axis,left_hip_yaw_joint,revolute,0,0,-0.13,0,0,0,left_hip_roll_link,0,0,1,0,0,-0.79,0.79,,,,,,,,
left_knee_link,0.00451201855882662,0.000898936811032841,-0.152539053185251,0,0,0,3.00396873541912,0.0352465959477,-1.33525267852487E-05,0.00058725194051876,0.0355698546441197,0.000130996550389051,0.0024949211309455,0,0,0,0,0,0,package://sysmo_description/meshes/left_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://sysmo_description/meshes/left_knee_link.STL,,downbody-1/FA01-44000-knee p r link-V1-4/FA01-44000_littleleglasm_V1-2;downbody-1/FA01-44000-knee p r link-V1-4/EC-A6416-P2-25（因克斯电机）-1;downbody-1/FA01-44000-knee p r link-V1-4/EC-A6416-P2-25（因克斯电机）-2;downbody-1/FA01-44000-knee p r link-V1-4/FA01-34003_踝关节摆杆_V1-2;downbody-1/FA01-44000-knee p r link-V1-4/FA01-34003_踝关节摆杆_V1-1;downbody-1/FA01-44000-knee p r link-V1-4/长杆asm-1/FA01-34004_踝关节长连杆_V1-1;downbody-1/FA01-44000-knee p r link-V1-4/短杆asm-1/FA01-34005_踝关节短连杆_V1-1,left_knee_link,left_knee_axis,left_knee_joint,revolute,0,-0.005,-0.208,0,0,0,left_hip_yaw_link,0,1,0,0,0,-0.05,2.09,,,,,,,,
left_ankle_pitch_link,2.60544336565775E-08,-6.2280040291629E-09,-1.22124532708767E-15,0,0,0,0.0556749105304316,6.04763854409577E-06,8.97960038550564E-18,4.8699910186592E-11,6.04765703740638E-06,-1.9856102514128E-11,9.27538806662971E-06,0,0,0,0,0,0,package://sysmo_description/meshes/left_ankle_pitch_link.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://sysmo_description/meshes/left_ankle_pitch_link.STL,,downbody-1/FA01-35000-Cross axle link-V1-2,left_ankle_pitch_link,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0,0,-0.42,0,0,0,left_knee_link,0,1,0,0,0,-1.05,0.52,,,,,,,,
left_ankle_roll_link,0.0250667194963925,-2.12235776644865E-06,-0.0424562422945985,0,0,0,0.863925830266016,0.000550244437023606,-6.43176824143931E-08,-1.60190924436804E-06,0.00353496948915475,-5.7075919858421E-10,0.00398349687972264,0,0,0,0,0,0,package://sysmo_description/meshes/left_ankle_roll_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://sysmo_description/meshes/left_ankle_roll_link.STL,,downbody-1/FA01-46000-foot ankle p l link-V1-4/FA01-46000_脚掌lasm_V1-2;downbody-1/FA01-46000-foot ankle p l link-V1-4/FA01-36004_脚掌转接件对手件_V1-1,left_ankle_roll_link,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,0,0,0,0,left_ankle_pitch_link,1,0,0,0,0,-0.35,0.35,,,,,,,,
right_hip_pitch_link,0.00274293175631498,-0.0696480889051877,-0.0257336236349798,0,0,0,0.797187691489155,0.00227406991551587,0.000154138262489461,5.15417445694486E-05,0.00176602295883397,0.00013554862169627,0.00114911522682233,0,0,0,0,0,0,package://sysmo_description/meshes/right_hip_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sysmo_description/meshes/right_hip_pitch_link.STL,,downbody-1/FA01-31000-hip p r link-V1-1/FA01-31000_hip p r structural part asm_V1-1;downbody-1/FA01-31000-hip p r link-V1-1/FA01-31005_hip p r 髋关节连接件限位块_V1-1;downbody-1/FA01-31000-hip p r link-V1-1/FA01-31005_hip p r 髋关节连接件限位块_V1-2,right_hip_pitch_link,right_hip_pitch_axis,right_hip_pitch_joint,revolute,0,-0.085459,0.085352,0.3927,0,0,pelvis,0,1,0,0,0,-2.09,2.09,,,,,,,,
right_hip_roll_link,-0.011309491361803,7.29296766129039E-05,-0.0606032667558004,0,0,0,1.03689574121239,0.00377155030181508,-7.66759152955036E-07,-0.00037137216418334,0.002985906326948,-0.00013746574220979,0.00197955911573159,0,0,0,0,0,0,package://sysmo_description/meshes/right_hip_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sysmo_description/meshes/right_hip_roll_link.STL,,downbody-1/FA01-32000-hip r r link-V1-1/FA01-32000_hip r structural asm_V1-1;downbody-1/FA01-32000-hip r r link-V1-1/FA01-32004_hip r r pitch髋关节连接件外壳_V1-1,right_hip_roll_link,left_hip_roll_axis,right_hip_roll_joint,revolute,0,-0.076873,-0.029999,-0.3927,0,0,right_hip_pitch_link,1,0,0,0,0,-2.62,0.52,,,,,,,,
right_hip_yaw_link,0.00331392130467581,0.00778253947311849,-0.0776105527072519,0,0,0,1.41088177167914,0.00692744892862745,-1.33191308304771E-05,-0.000277939054117245,0.00866075444342354,-0.000830805146477656,0.0036944722382308,0,0,0,0,0,0,package://sysmo_description/meshes/right_hip_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sysmo_description/meshes/right_hip_yaw_link.STL,,downbody-1/FA01-33000-hip y r link-V1-1/FA01-33000_hip y r structural asm_V1-1,right_hip_yaw_link,right_hip_yaw_axis,right_hip_yaw_joint,revolute,0,0,-0.13,0,0,0,right_hip_roll_link,0,0,1,0,0,-0.79,0.79,,,,,,,,
right_knee_link,0.00454083237036741,-0.000902596090767482,-0.152531901825879,0,0,0,3.00375777017828,0.0352402985619036,1.33671147679066E-05,0.000581466043851993,0.0355635588048496,-0.000131018102629282,0.00249493826604574,0,0,0,0,0,0,package://sysmo_description/meshes/right_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://sysmo_description/meshes/right_knee_link.STL,,downbody-1/FA01-34000-knee p r link-V1-1/FA01-34000_littlelegrasm_V1-1;downbody-1/FA01-34000-knee p r link-V1-1/EC-A6416-P2-25（因克斯电机）-1;downbody-1/FA01-34000-knee p r link-V1-1/FA01-34003_踝关节摆杆_V1-2;downbody-1/FA01-34000-knee p r link-V1-1/EC-A6416-P2-25（因克斯电机）-2;downbody-1/FA01-34000-knee p r link-V1-1/长杆asm-1/FA01-34004_踝关节长连杆_V1-1;downbody-1/FA01-34000-knee p r link-V1-1/FA01-34003_踝关节摆杆_V1-1;downbody-1/FA01-34000-knee p r link-V1-1/短杆asm-1/FA01-34005_踝关节短连杆_V1-1,right_knee_link,right_knee_axis,right_knee_joint,revolute,0,0.005,-0.208,0,0,0,right_hip_yaw_link,0,1,0,0,0,0.05,2.09,,,,,,,,
right_ankle_pitch_link,2.60544336739706E-08,-6.22805243488678E-09,-3.33066907387547E-16,0,0,0,0.0556749105304315,6.04763854409575E-06,8.98470911271403E-18,4.86998109233469E-11,6.04765703740638E-06,-1.98561026237687E-11,9.27538806662971E-06,0,0,0,0,0,0,package://sysmo_description/meshes/right_ankle_pitch_link.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://sysmo_description/meshes/right_ankle_pitch_link.STL,,downbody-1/FA01-35000-Cross axle link-V1-1,right_ankle_pitch_link,right_ankle_pitch_axis,right_ankle_pitch_joint,revolute,0,0,-0.42,0,0,0,right_knee_link,0,1,0,0,0,-1.05,0.52,,,,,,,,
right_ankle_roll_link,0.0250731667287884,8.96238250058801E-07,-0.0424564810026838,0,0,0,0.863992582560456,0.00055025278681349,5.64532962995972E-08,-1.5967001213026E-06,0.00353511705887538,-7.56422529664107E-10,0.00398365105992672,0,0,0,0,0,0,package://sysmo_description/meshes/right_ankle_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://sysmo_description/meshes/right_ankle_roll_link.STL,,downbody-1/FA01-36000-foot ankle p r link-V1-1/FA01-36000_脚掌asm_V1-2;downbody-1/FA01-36000-foot ankle p r link-V1-1/FA01-36004_脚掌转接件对手件_V1-1,right_ankle_roll_link,right_ankle_roll_axis,right_ankle_roll_joint,revolute,0,0,0,0,0,0,right_ankle_pitch_link,1,0,0,0,0,-0.35,0.35,,,,,,,,
waist_yaw_link,0.0150267520755128,-1.58229116799445E-08,0.0104168810769416,0,0,0,0.179566240103738,0.00014885487205964,-1.45555726004689E-10,5.35579664066971E-05,0.000254899339885036,4.6341035505758E-11,0.00025556932492612,0,0,0,0,0,0,package://sysmo_description/meshes/waist_yaw_link.STL,0.741176470588235,0.392156862745098,0.294117647058824,1,0,0,0,0,0,0,package://sysmo_description/meshes/waist_yaw_link.STL,,0000_fa01-1/fa01-11000_髋部总成-1/waist后支撑轴-1;0000_fa01-1/fa01-11000_髋部总成-1/waist支撑轴-1,waist_yaw_link,waist_yaw_axis,waist_yaw_joint,revolute,0,0,0.25875,0,0,0,pelvis,0,0,1,0,0,-0.79,0.79,,,,,,,,
waist_roll_link,0.000695261131681387,-1.57869320358899E-08,0.000100745195086849,0,0,0,0.0706306277664418,3.37374721615723E-05,3.21917812433539E-12,1.84843292650176E-07,2.68796539299939E-05,-1.66050983262527E-11,5.35768474469694E-05,0,0,0,0,0,0,package://sysmo_description/meshes/waist_roll_link.STL,0.819607843137255,0.701960784313725,0.431372549019608,1,0,0,0,0,0,0,package://sysmo_description/meshes/waist_roll_link.STL,,0000_fa01-1/fa01-12000_十字轴组件-1/waist十字轴-1,waist_roll_link,waist_roll_axis,waist_roll_joint,revolute,0,0,0.0465,0,0,0,waist_yaw_link,1,0,0,0,0,-0.44,0.44,,,,,,,,
waist_pitch_link,-0.0148087774279505,-1.03676234963834E-05,0.207695278669477,0,0,0,1.41917656961692,0.0202320941736731,-2.08007738018035E-06,-0.000395326155495067,0.0136666711268397,-3.3070510360185E-06,0.0108040549066707,0,0,0,0,0,0,package://sysmo_description/meshes/waist_pitch_link.STL,0.666666666666667,0.666666666666667,0.666666666666667,1,0,0,0,0,0,0,package://sysmo_description/meshes/waist_pitch_link.STL,,0000_fa01-1/fa01-13000_腰部总成-1/腰部电机组件_r-1;0000_fa01-1/fa01-13000_腰部总成-1/腰部电机组件_l-1;0000_fa01-1/fa01-14000_躯干-1/后壳-1;0000_fa01-1/fa01-14000_躯干-1/前壳-1;0000_fa01-1/fa01-14000_躯干-1/右侧板-1;0000_fa01-1/fa01-14000_躯干-1/左侧板-1;0000_fa01-1/fa01-14000_躯干-1/上壳-1;0000_fa01-1/fa01-14000_躯干-1/背壳-1;0000_fa01-1/fa01-14000_躯干-1/颈部下壳-1,waist_pitch_link,waist_pitch_axis,waist_pitch_joint,revolute,0,0,0,0,0,0,waist_roll_link,0,1,0,0,0,-0.26,0.61,,,,,,,,
neck_yaw_link,-0.000234215351371198,-0.0187857485238379,0.0134449919971906,0,0,0,0.0188874938458309,8.3721755588329E-06,6.06274138666246E-08,-8.55149727645055E-08,6.30137686467712E-06,-2.3878246034425E-06,7.97244755270101E-06,0,0,0,0,0,0,package://sysmo_description/meshes/neck_yaw_link.STL,0.686274509803922,0.309803921568627,0.231372549019608,1,0,0,0,0,0,0,package://sysmo_description/meshes/neck_yaw_link.STL,,0000_fa01-1/fa01-22001_颈部_yaw_link-1,neck_yaw_link,neck_yaw_axis,neck_yaw_joint,revolute,0,0,0.4035,0,0,0,waist_pitch_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
